City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Ribeira Grande,PT,22.24,few clouds,38.5167,-28.7,Quinta da Meia Eira
2,Vaini,TO,24.25,scattered clouds,-21.2,-175.2,Keleti Beach Resort
3,Chui,UY,13.81,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
4,Rikitea,PF,22.86,broken clouds,-23.1203,-134.9692,People ThankYou
5,Avarua,CK,27.03,overcast clouds,-21.2078,-159.775,Paradise Inn
6,Hermanus,ZA,14.94,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Cape Town,ZA,15.62,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
9,George Town,MY,24.97,scattered clouds,5.4112,100.3354,Cititel Penang
10,San Patricio,US,32.23,moderate rain,28.017,-97.5169,"Motel 6 Sinton, TX"
11,Mataura,NZ,10.82,broken clouds,-46.1927,168.8643,Ellie's Villa
12,Yangshe,CN,26.13,light rain,31.8899,120.6052,Jindongmen Hotel
13,Caravelas,BR,21.98,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
14,Busselton,AU,13.36,overcast clouds,-33.65,115.3333,Observatory Guest House
15,Saint Paul Harbor,US,8.42,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
16,Bandarbeyla,SO,27.5,scattered clouds,9.4942,50.8122,JABIR HOTEL
17,Punta Arenas,CL,8.95,overcast clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
18,Arraial do Cabo,BR,21.87,clear sky,-22.9661,-42.0278,Pousada Porto Praia
19,Talnakh,RU,-0.61,overcast clouds,69.4865,88.3972,Talnakh Hotel
20,Ushuaia,AR,8.81,scattered clouds,-54.8,-68.3,Albatros Hotel
21,Yangi Marg`ilon,UZ,16.4,few clouds,40.4272,71.7189,Ikathouse
22,Bowen,AU,23.67,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
23,East London,ZA,16.73,light rain,-33.0153,27.9116,Tu Casa
24,Cherskiy,RU,-6.63,broken clouds,68.75,161.3,Gostinitsa
25,Balezino,RU,0.1,broken clouds,57.9796,53.0106,Dom Otdykha Lokomotivnykh Brigad
26,Touros,BR,25.31,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
27,Tigil',RU,9.79,overcast clouds,57.8,158.6667,Tigil'
28,Mahébourg,MU,22.36,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Constitución,CL,11.18,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
30,Iqaluit,CA,-0.17,overcast clouds,63.7506,-68.5145,Frobisher Inn
31,Salalah,OM,26.72,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
32,Bilibino,RU,-9.4,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
33,Inndyr,NO,12.65,overcast clouds,67.0338,14.0276,Heimsjyen
34,Atar,MR,35.3,broken clouds,20.5169,-13.0499,Oumou Elghoura
35,Severo-Kuril'sk,RU,12.67,overcast clouds,50.6789,156.125,Kak Doma
36,São João da Barra,BR,22.41,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
37,Zemio,CF,20.93,overcast clouds,5.0314,25.1361,OCHA Office
38,Tortolì,IT,19.43,scattered clouds,39.9256,9.6572,Hotel La Bitta
39,Sibolga,ID,25.02,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
41,Lebu,CL,10.0,broken clouds,-37.6167,-73.65,Hostal Las Lilas
42,Qaanaaq,GL,-2.34,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
43,Bambous Virieux,MU,22.34,overcast clouds,-20.3428,57.7575,Casa Tia Villa
44,Poso,ID,26.14,broken clouds,-1.3959,120.7524,Hotel 77 Poso
