City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ribeira Grande,PT,38.5167,-28.7,22.24,22.24,87,21,5.58,few clouds
1,Albany,US,42.6001,-73.9662,15.78,12.77,79,67,2.68,broken clouds
2,Vaini,TO,-21.2,-175.2,24.25,24.25,76,32,6.73,scattered clouds
3,Chui,UY,-33.6971,-53.4616,13.81,13.81,92,67,4.76,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,22.86,22.86,66,63,7.75,broken clouds
5,Avarua,CK,-21.2078,-159.775,27.03,27.03,69,90,1.54,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,14.94,14.94,84,46,3.54,scattered clouds
7,Marzuq,YE,14.4,46.4667,25.03,25.03,35,69,3.01,broken clouds
8,Cape Town,ZA,-33.9258,18.4232,15.62,15.06,72,20,7.72,few clouds
9,George Town,MY,5.4112,100.3354,24.97,24.38,96,40,0.45,scattered clouds
10,San Patricio,US,28.017,-97.5169,32.23,28.24,61,81,8.74,moderate rain
11,Mataura,NZ,-46.1927,168.8643,10.82,10.82,61,56,4.02,broken clouds
12,Yangshe,CN,31.8899,120.6052,26.13,25.56,86,66,0.45,light rain
13,Caravelas,BR,-17.7125,-39.2481,21.98,21.98,85,5,2.71,clear sky
14,Busselton,AU,-33.65,115.3333,13.36,12.27,76,87,5.58,overcast clouds
15,Saint Paul Harbor,US,57.79,-152.4072,8.42,8.42,73,100,4.76,overcast clouds
16,Bandarbeyla,SO,9.4942,50.8122,27.5,27.5,70,47,10.18,scattered clouds
17,Punta Arenas,CL,-53.15,-70.9167,8.95,8.95,49,100,11.52,overcast clouds
18,Arraial do Cabo,BR,-22.9661,-42.0278,21.87,21.87,87,0,12.09,clear sky
19,Talnakh,RU,69.4865,88.3972,-0.61,-0.61,77,95,1.05,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,8.81,8.81,43,40,10.8,scattered clouds
21,Yangi Marg`ilon,UZ,40.4272,71.7189,16.4,16.4,55,20,2.06,few clouds
22,Bowen,AU,-20.0167,148.2333,23.67,23.67,67,50,7.52,scattered clouds
23,East London,ZA,-33.0153,27.9116,16.73,16.73,78,100,3.53,light rain
24,Cherskiy,RU,68.75,161.3,-6.63,-6.63,88,63,2.96,broken clouds
25,Balezino,RU,57.9796,53.0106,0.1,0.1,89,54,2.3,broken clouds
26,Touros,BR,-5.1989,-35.4608,25.31,25.31,81,45,7.14,scattered clouds
27,Tigil',RU,57.8,158.6667,9.79,9.79,83,95,11.84,overcast clouds
28,Mahébourg,MU,-20.4081,57.7,22.36,22.36,70,75,7.82,broken clouds
29,Constitución,CL,-35.3333,-72.4167,11.18,11.18,71,0,4.27,clear sky
30,Iqaluit,CA,63.7506,-68.5145,-0.17,-0.17,79,100,1.34,overcast clouds
31,Salalah,OM,17.0151,54.0924,26.72,26.72,82,87,0.9,overcast clouds
